"","source node","dest node","edge weight"
"639","52","26","0.000153332055257474"
"640","2025","2011","1.32535208753066e-05"
"641","2032","2019","8.50829541792306e-05"
"642","2010","17","5.42262794490815e-05"
"643","53","50","5.17617267197882e-05"
"644","2023","1028","1.38339267972673e-05"
"645","1010","1009","3.08355401507657e-05"
"646","2010","52","8.06251248782846e-05"
"647","2030","17","2.57374691895366e-05"
"648","2005","1013","2.55580745956332e-05"
"649","2030","2018","2.47861325212407e-05"
"650","1011","1010","2.07642161213137e-05"
"651","2035","10","4.24763616373647e-05"
"652","2013","10","3.03373416571207e-05"
"653","2009","2005","2.45161630499284e-05"
"654","2001","51","6.66990046241047e-05"
"655","1021","1010","4.88105672068286e-05"
"656","1025","1007","1.87001933898333e-05"
"657","2028","1026","1.56329945359493e-05"
"658","2025","49","2.57847903474638e-05"
"659","2007","10","3.13497277536206e-05"
"660","2021","1011","2.16436575026207e-05"
"661","1026","1010","5.99133502341001e-05"
"662","1011","17","2.49937653086947e-05"
"663","2017","50","5.73483039261511e-05"
"664","1029","1010","2.03305587566469e-05"
"665","2025","1029","1.46629878006225e-05"
"666","1025","1016","3.19338705111169e-05"
"667","2010","13","0.000100820858865409"
"668","2021","49","5.5466760776981e-05"
"669","2030","1030","2.06485374039795e-05"
"670","2010","1035","5.53959474311565e-05"
"671","1010","1002","8.69537099995956e-05"
"672","1033","1011","2.89967200900258e-05"
"673","1026","12","7.44311796814053e-05"
"674","2007","2005","3.40361606931236e-05"
"675","1021","17","6.76529739232267e-05"
"676","2019","52","0.000126042756269588"
"677","2027","10","2.49164897979077e-05"
"678","2025","2016","3.50727905462801e-05"
